UniProtID,mean_Case,mean_Control,log2foldchange,p_value,t_value,,,,
Q9Y2S2,13.85375298,13.95693009,-0.103177112,0.208292494,-1.27034068,,,,
Q9NP79,16.53701347,16.66074893,-0.123735457,0.210857976,-1.265104967,,,,
Q8NBP7,13.70927084,13.82788339,-0.11861255,0.214039248,-1.252688815,,,,
P62873,14.83385139,14.71785805,0.115993335,0.214049495,1.257540124,,,,
Q13263,13.00543367,13.16004922,-0.154615552,0.215277004,-1.256377449,,,,
P03951,13.20091662,13.2677252,-0.066808578,0.221665143,-1.228799432,,,,
P19823,19.77903247,19.85201643,-0.072983955,0.221911732,-1.228936941,,,,
P33151,11.0919559,11.30466653,-0.21271063,0.221986028,-1.228749535,,,,
Q15428,10.29374889,10.36439781,-0.070648918,0.223882238,-1.228782662,,,,
Q15485,10.96121573,10.82280369,0.138412043,0.225467292,1.219815914,,,,
O43776,13.50263837,13.39684831,0.105790066,0.226313101,1.218085839,,,,
Q9BWP8,10.51849759,10.70633647,-0.187838888,0.22709423,-1.215906737,,,,
P08519,13.051856,12.68744998,0.364406023,0.228838274,1.210789603,,,,
P40227,14.68353056,14.91970084,-0.23617028,0.229580559,-1.215044949,,,,
P11532,11.62996146,11.79062733,-0.160665866,0.230737654,-1.209929295,,,,
P00746,14.93467255,14.81261934,0.122053214,0.230873901,1.205572797,,,,
Q9UNN8,12.19156198,12.07131353,0.120248459,0.231389819,1.204294995,,,,
O43639,12.56151607,12.66696999,-0.105453924,0.232453158,-1.209067209,,,,
P01019,17.74241058,17.81800275,-0.075592171,0.232463374,-1.200112881,,,,
Q9UI17,11.97764498,11.52688086,0.450764123,0.232833429,1.200496174,,,,
Q01459,10.12764892,10.25882365,-0.13117473,0.234141963,-1.211886357,,,,
P04278,13.03315999,13.23445067,-0.20129068,0.237233144,-1.188335932,,,,
P84095,14.32970496,13.88760495,0.442100002,0.237749154,1.199841633,,,,
P98160,9.819191463,9.711887809,0.107303653,0.239070967,1.191560772,,,,
P38646,12.90340847,12.65026881,0.253139656,0.240958236,1.181005195,,,,
P30085,13.07416234,12.74304816,0.331114179,0.248000335,1.174760124,,,,
O75874,10.62755662,10.30772602,0.319830601,0.252083159,1.159217885,,,,
P05090,17.44314073,17.55222546,-0.109084725,0.252873437,-1.15001315,,,,
P35611,17.4467162,17.6078069,-0.161090701,0.252884767,-1.163260303,,,,
Q5SSJ5,13.84357861,13.64665942,0.196919192,0.253636155,1.156547532,,,,
Q5JRA6,16.87694687,16.5834903,0.293456575,0.253638948,1.146403219,,,,
P11279,10.10606086,10.2340693,-0.128008444,0.253700608,-1.154775629,,,,
Q9NR12,10.93811144,10.78354435,0.154567091,0.259643311,1.137590111,,,,
Q92945,15.95248818,16.3904325,-0.437944329,0.260094973,-1.142351217,,,,
Q96BY6,15.02514344,15.19668044,-0.171537003,0.263193256,-1.126575871,,,,
P80108,13.61721662,13.69493177,-0.077715154,0.263591272,-1.12410253,,,,
P34932,15.10553919,15.23051614,-0.124976946,0.264859488,-1.120594556,,,,
Q9UK55,13.14997081,13.22176465,-0.071793841,0.26943128,-1.110289587,,,,
Q9H0W9,14.30852287,14.52078125,-0.212258386,0.270493029,-1.110808855,,,,
Q9HC38,13.08700749,12.95409336,0.132914127,0.27059222,1.111282981,,,,
Q9UIF8,11.17199261,11.3029572,-0.130964585,0.272514114,-1.108974467,,,,
Q92496,9.981980505,9.872813353,0.109167153,0.273123958,1.108350844,,,,
